time,micro_id,macro_dominant,macro_weights_sum_sq,closure_coherence,integration,differentiation,path_coherence,dominant_subsystem,env_x,env_y,goal_prox,hazard_prox,perc_range,perc_focus,perc_mode,n_visible,heading_x,heading_y,speed,conflict_angle,clarity,curvature,inner_outer_ratio,force_mag_0,force_mag_1,force_mag_2,force_mag_3,force_mag_4,force_mag_5,force_mag_6,force_mag_7,clarity_decomp_0,clarity_decomp_1,clarity_decomp_2,clarity_decomp_3,clarity_decomp_4,clarity_decomp_5,clarity_decomp_6,clarity_decomp_7,clarity_rate,clarity_persistence,clarity_grad_mag,u_dim0,u_dim1,u_dim2,u_dim3,resultant_dir_0,resultant_dir_1,resultant_dir_2,resultant_dir_3
0,377,11,0.4823563532461931,0.5777214958856648,0.1420570360057552,0.31611359909705133,0.0,Attention,9.940560316691178,8.744360496245244,0.054178238902441965,0.008708841628440166,2.362593148762943,0.45130893528764315,internal,0,-0.04728522444231608,-0.998881428173254,1.2570455995473444,1.5689802334154723,0.26044402011188855,0.0,0.8045608782656978,0.9659956150242115,0.342385418680047,0.9981723048628323,0.9763589230575536,0.876423825870895,0.7071125915688437,0.9806883247734378,0.9995503990084424,0.0017780253872718612,-0.002983286246311903,0.21942750995974686,0.03669755150377264,-0.01566750822975038,0.10956151085078977,-0.06323786181731297,-0.02513192129631732,0.0,0.0,0.8060647508216746,-0.036841448665359565,-0.778260847714049,0.5941364942565264,-0.19988638464941066,0.13114695553660152,-0.05728850669372641,0.9254240821944473,0.35086859527300013
1,157,12,0.29615882115098574,0.7299390636676393,0.3049635053795595,0.42173520346620025,0.0,Social,10.479897612162592,8.010977498449712,0.07707747841403396,0.0061630042981715505,5.564818965539159,0.43992046925458744,exploration,2,0.5924511183353881,-0.8056064004109873,0.9103490208387004,2.056266519316325,0.2796629544223698,0.8235891977900427,1.9093705424732048,0.9993211233798132,0.6279411125269717,0.804364232877495,0.9798190814801968,0.8515565934570132,0.2413767781732642,0.8275045785868743,0.993331855000705,0.12255844244345812,0.0015308912990137067,0.03400600801768925,0.03600814843383485,-0.037297190166508475,0.03375108159781616,-0.003696079287937468,0.09280165208500372,0.019218934310481273,0.0,4.122161911519771,0.2748698619429621,-0.37376403421012483,0.7995779609672997,0.3813424577224587,0.8868099610759398,0.14466412539559725,0.3384864020369178,0.27940533172457405
2,102,3,0.35598697106622135,0.7703568253377102,0.22380638540332667,0.38163843357103816,0.0,Attention,11.260808303514445,7.854520217325545,0.09867824061573989,0.00798821575213721,6.797467765803798,0.5669397204057212,exploration,2,0.9805141828245186,-0.19644830689004814,0.7964297763672541,1.440033954849717,0.14594699730304056,0.41166329447178335,2.588305955814039,0.9614814389702945,0.9275238239188153,0.6005622961432704,0.9244338413481807,0.888615231792351,0.5582421225679912,0.9552693495363273,0.9971618690366292,5.150387500817225e-05,0.06820919517863032,0.07640218835826311,0.0063517783678744485,0.09158400364064641,-0.06232118315578957,-0.028406457329852725,-0.00592403163173957,-0.13371595711932927,-0.3729258096532361,1.3715191022458653,0.35336819838367706,-0.07079814397104316,0.6947286439260729,0.6224713892942948,0.0008412171244096962,0.915246373796737,0.39815260989008683,0.06162683541595894
3,149,20,0.48816122224058367,0.734963165308986,0.139764694637734,0.3324692157736191,0.8117719244997811,Aesthetic,12.195227446982312,8.228551559697333,0.1469305038600464,0.010185819032488105,6.1683718635564375,0.7357299725060062,vigilant,2,0.9283863245980928,0.37161651241467264,1.0064981772242136,1.445687983538862,0.19823063376158173,0.3531877309779754,1.5131005210562984,0.9354843204852192,0.9974906629688359,0.7192719246958567,0.7826425504408879,0.9539609296022233,0.8408236216030381,0.9986938692734264,0.9817289522045769,0.028147021061705333,0.055182977131673056,0.07199579308327546,-0.0602315349002596,0.007019211396212937,0.005072358576978925,-0.05086106006142003,0.14190586747341563,0.05228363645854117,-0.04531025184663237,2.212475660457572,0.5118769214805731,0.2048952158235621,0.6870292590655771,0.47327660514332587,0.3470595949741474,0.43777462054578575,0.4763996946152246,-0.6789302984201653
4,107,20,0.6308871127657768,0.6905769152083491,0.10165351984563589,0.2729840829292753,0.6213161778573878,Memory,13.10647143343517,8.896658686545996,0.21631493036286117,0.010750457813025454,6.122175554393463,0.6312936236003281,exploration,2,0.8064634295041342,0.5912839731232621,1.1299259868648357,1.683502167116357,0.06443150934333695,0.3159005988922983,1.1274108683677118,0.8590587942715048,0.9787839136872729,0.7266297459832072,0.8809138723758376,0.9761562965291871,0.9400922188003796,0.9885114571990024,0.9996274344846845,0.08112026610429497,0.026346370390722268,-0.009749527262801845,-0.15435953136370636,-0.008632103320460436,-0.0243863702790397,-0.00824501004920455,0.16233741512353259,-0.13379912441824476,0.039962986987874635,2.547291907397863,0.535144195137459,0.39235776145396184,0.46297291794071216,0.587649670033924,0.6879995258568617,0.15415524666064,-0.07262815359282804,-0.7054204162436943
5,183,20,0.39129715418096217,0.6571768662374151,0.19267546677668784,0.3811611477244513,0.5385404906321793,Memory,13.969840333418682,9.40132361110277,0.2618367630230081,0.010717250039284046,4.777837507644273,0.7113547690237467,threat-lock,1,0.8633289531503943,0.5046415744389721,1.0000462706978288,1.6071148746917594,0.062353683622151566,0.3772429271398219,1.5364220169352094,0.8447607262906432,0.9198126895993247,0.886372423401464,0.8091154790277947,0.9948899521927509,0.9987525968863914,0.9961063465254605,0.9993105560962418,-0.053418277660550816,-0.07074218940465365,0.03244429264475849,0.09862106770900282,-0.017139115936086975,0.10578135060260829,0.026828940807655997,-0.060022385140582564,-0.0020778257211853876,0.40619166025438547,1.9032674778663274,0.4709430170212315,0.2752802679828963,0.7462944617895396,0.38141579028727485,-0.4067404264542718,-0.646161992279814,0.2777479238951303,0.5830034270848874
6,170,12,0.35592893191079755,0.6533012766157928,0.223865519124444,0.39063244364729216,0.17750941456721522,Social,14.846529769973664,9.399852301309926,0.2707708731648885,0.011396715711569718,6.4777667707372375,0.5669910532010924,exploration,1,0.999998591730444,-0.0016782541907020383,0.8766906711717636,1.5932041048217322,0.1589961500516402,0.2886539982198879,2.079641111410198,0.8821636301067924,0.9613640166678179,0.6656159291687309,0.9244035871901263,0.9903827764740971,0.9429065767072552,0.9661427307649769,0.9979942072760302,0.11065947811457673,-0.055605298441516,-0.013921910129410034,-0.029120175004109558,-0.032636019594733716,0.06681914463980002,-0.015978484700800773,0.12877941516783353,0.09664246642948862,0.41743981820305287,0.73848517229007,0.43335454532982154,-0.0007272801059659813,0.817996476677138,0.37826584996457097,0.7443504635775265,-0.5912897882160639,-0.10176625573560098,-0.293193456470092
7,107,20,0.39439065847416455,0.704923198178746,0.19034890518600048,0.43373412876771944,0.24688546962857094,Emotion,15.246076269857655,10.28840756207519,0.30047904917167323,0.014365731789624244,6.907978860062828,0.5647860949751997,exploration,1,0.41010571288076103,0.9120379949665269,0.9742524606092484,1.6765034030030332,0.2603842204839238,0.5882874196781067,1.6337899425681848,0.9012235207128475,0.9999997355317836,0.5752232182043971,0.9256970043642139,0.9517281557928697,0.8153807076062042,0.9504306844961689,0.9992410208709055,-0.02364568088820074,0.008672645125131873,-0.011758693254677564,0.09553025680656259,0.12472658223568743,-0.0720210372386447,0.15947609247128994,-0.020595944773225034,0.1013880704322836,0.35329130180415386,2.438406252461533,0.21409474066516995,0.47612732979877576,0.6469866354175727,0.5557647716698589,-0.13243189502284305,0.48938617969633413,-0.30262439321545803,0.8070820509303016
8,175,17,0.4104462087929684,0.7162535679262975,0.17912636692949416,0.3505455689546946,0.07346038340372747,Aesthetic,16.167946069275516,11.237644378571058,0.19228033096873623,0.010573116112987295,5.881919812505436,0.6890353401689012,vigilant,1,0.6966900423047743,0.7173722777981958,1.3232136867754734,2.360417205731532,0.14533147933268623,0.5077198119362688,0.6478029813614391,0.9768128997422089,0.8793763479220618,0.762501334568809,0.8313395890929651,0.9826848225292576,0.9926749460673429,0.9979174743955445,0.9703766247129221,0.1034288926337799,-0.012518241055462016,0.0006272352571052538,-0.013240223612355825,-0.1107593653437011,0.030054271922164217,-0.009322351914262018,0.15706126144541782,-0.11505274115123756,0.2765043616494531,1.5660163811106567,0.5847216204508645,0.6020799139787193,0.4413801793640594,0.31746483431278527,0.9424081202043795,-0.320692433436341,0.005605242859336664,-0.09482552062611545
9,162,20,0.5546867648120521,0.6512438733584095,0.11840860979058636,0.3134493990959799,0.05008958717791453,Planning,16.988696953045693,11.968918912522822,0.11104448711974019,0.012500551910497449,4.6482810761843565,0.5222253840189497,internal,1,0.7466326830285476,0.6652365268335709,1.0992699655752873,2.1454236430477036,0.12214219307897975,0.31443278678760794,1.2143090249816402,0.8112340104675887,0.7984358270602425,0.8973201955646722,0.948270044322332,0.999924669572607,0.9935229224276331,0.9961538503046914,0.9819811120471261,0.022875660749244655,0.1393208730903818,-0.09292053519174741,-0.04079517654576836,0.028222657216784578,-0.010441250706500909,0.021567083237789816,0.0543128812287956,-0.023189286253706476,0.2826071926439021,4.111901497300014,0.47463437323523355,0.42289083928939536,0.5964364499957734,0.49005009020012125,0.12716748367525027,0.5905035216256134,-0.7001487869530082,-0.3806910797112075
